step,condition,waiting_time,queue_length
227,ppo_only,23.0,2
228,ppo_only,23.0,1
229,ppo_only,28.0,1
230,ppo_only,33.0,1
231,ppo_only,38.0,1
232,ppo_only,43.0,1
233,ppo_only,50.0,2
234,ppo_only,53.0,1
235,ppo_only,58.0,1
236,ppo_only,63.0,1
237,ppo_only,68.0,1
238,ppo_only,73.0,1
239,ppo_only,78.0,1
240,ppo_only,83.0,1
241,ppo_only,88.0,1
242,ppo_only,93.0,1
243,ppo_only,98.0,1
244,ppo_only,103.0,1
245,ppo_only,108.0,1
246,ppo_only,113.0,1
247,ppo_only,119.0,2
248,ppo_only,123.0,1
249,ppo_only,128.0,1
250,ppo_only,133.0,1
251,ppo_only,138.0,1
252,ppo_only,143.0,1
253,ppo_only,150.0,2
254,ppo_only,153.0,1
255,ppo_only,158.0,1
256,ppo_only,163.0,1
257,ppo_only,168.0,1
258,ppo_only,173.0,1
259,ppo_only,178.0,1
260,ppo_only,183.0,1
261,ppo_only,188.0,1
262,ppo_only,193.0,1
263,ppo_only,198.0,1
264,ppo_only,203.0,1
265,ppo_only,208.0,1
266,ppo_only,213.0,1
267,ppo_only,218.0,1
268,ppo_only,223.0,1
269,ppo_only,228.0,1
270,ppo_only,233.0,1
271,ppo_only,238.0,1
272,ppo_only,243.0,1
273,ppo_only,248.0,1
274,ppo_only,253.0,1
275,ppo_only,258.0,1
276,ppo_only,263.0,1
277,ppo_only,268.0,1
278,ppo_only,273.0,1
279,ppo_only,278.0,1
280,ppo_only,283.0,1
281,ppo_only,288.0,1
282,ppo_only,293.0,1
283,ppo_only,298.0,1
284,ppo_only,0.0,0
285,ppo_only,0.0,0
286,ppo_only,0.0,0
