step,condition,waiting_time,queue_length
187,ppo_fedprox,131.0,3
188,ppo_fedprox,138.0,2
189,ppo_fedprox,148.0,2
190,ppo_fedprox,158.0,2
191,ppo_fedprox,168.0,2
192,ppo_fedprox,178.0,2
193,ppo_fedprox,188.0,2
194,ppo_fedprox,198.0,2
195,ppo_fedprox,208.0,2
196,ppo_fedprox,218.0,2
197,ppo_fedprox,228.0,2
198,ppo_fedprox,238.0,2
199,ppo_fedprox,248.0,2
200,ppo_fedprox,258.0,2
201,ppo_fedprox,268.0,2
202,ppo_fedprox,278.0,2
203,ppo_fedprox,288.0,2
204,ppo_fedprox,298.0,2
205,ppo_fedprox,308.0,2
206,ppo_fedprox,318.0,2
207,ppo_fedprox,328.0,2
208,ppo_fedprox,338.0,2
209,ppo_fedprox,348.0,2
210,ppo_fedprox,358.0,2
211,ppo_fedprox,368.0,2
212,ppo_fedprox,378.0,2
213,ppo_fedprox,388.0,2
214,ppo_fedprox,398.0,2
215,ppo_fedprox,408.0,2
216,ppo_fedprox,418.0,2
217,ppo_fedprox,428.0,2
218,ppo_fedprox,438.0,2
219,ppo_fedprox,448.0,2
220,ppo_fedprox,458.0,2
221,ppo_fedprox,468.0,2
222,ppo_fedprox,478.0,2
223,ppo_fedprox,488.0,2
224,ppo_fedprox,0.0,0
225,ppo_fedprox,4.0,1
226,ppo_fedprox,9.0,1
227,ppo_fedprox,17.0,2
228,ppo_fedprox,19.0,1
229,ppo_fedprox,24.0,1
230,ppo_fedprox,29.0,1
231,ppo_fedprox,34.0,1
232,ppo_fedprox,39.0,1
233,ppo_fedprox,46.0,2
234,ppo_fedprox,49.0,1
235,ppo_fedprox,54.0,1
236,ppo_fedprox,59.0,1
237,ppo_fedprox,64.0,1
238,ppo_fedprox,69.0,1
239,ppo_fedprox,74.0,1
240,ppo_fedprox,79.0,1
241,ppo_fedprox,84.0,1
242,ppo_fedprox,89.0,1
243,ppo_fedprox,94.0,1
244,ppo_fedprox,99.0,1
245,ppo_fedprox,104.0,1
246,ppo_fedprox,109.0,1
247,ppo_fedprox,116.0,2
248,ppo_fedprox,119.0,1
249,ppo_fedprox,124.0,1
250,ppo_fedprox,129.0,1
251,ppo_fedprox,134.0,1
252,ppo_fedprox,139.0,1
253,ppo_fedprox,145.0,2
254,ppo_fedprox,149.0,1
255,ppo_fedprox,154.0,1
256,ppo_fedprox,159.0,1
257,ppo_fedprox,164.0,1
258,ppo_fedprox,169.0,1
259,ppo_fedprox,174.0,1
260,ppo_fedprox,179.0,1
261,ppo_fedprox,184.0,1
262,ppo_fedprox,189.0,1
263,ppo_fedprox,194.0,1
264,ppo_fedprox,199.0,1
265,ppo_fedprox,204.0,1
266,ppo_fedprox,209.0,1
267,ppo_fedprox,214.0,1
268,ppo_fedprox,219.0,1
269,ppo_fedprox,224.0,1
270,ppo_fedprox,229.0,1
271,ppo_fedprox,234.0,1
272,ppo_fedprox,239.0,1
273,ppo_fedprox,244.0,1
274,ppo_fedprox,249.0,1
275,ppo_fedprox,256.0,2
276,ppo_fedprox,259.0,1
277,ppo_fedprox,264.0,1
278,ppo_fedprox,269.0,1
279,ppo_fedprox,274.0,1
280,ppo_fedprox,279.0,1
281,ppo_fedprox,284.0,1
