step,condition,waiting_time,queue_length
212,maestro_fl,144.0,2
213,maestro_fl,147.0,1
214,maestro_fl,152.0,1
215,maestro_fl,157.0,1
216,maestro_fl,162.0,1
217,maestro_fl,167.0,1
218,maestro_fl,172.0,1
219,maestro_fl,177.0,1
220,maestro_fl,182.0,1
221,maestro_fl,187.0,1
222,maestro_fl,192.0,1
223,maestro_fl,197.0,1
224,maestro_fl,202.0,1
225,maestro_fl,207.0,1
226,maestro_fl,212.0,1
